fitness,schedule,max_attempts,max_iters,n_invocations,time
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
0.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
2.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
1.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
3.0,ArithDecay,10,500,268,0.004413599999999462
4.0,ArithDecay,10,500,268,0.004413599999999462
4.0,ArithDecay,10,500,268,0.004413599999999462
4.0,ArithDecay,10,500,268,0.004413599999999462
4.0,ArithDecay,10,500,268,0.004413599999999462
5.0,ArithDecay,10,500,268,0.004413599999999462
5.0,ArithDecay,10,500,268,0.004413599999999462
5.0,ArithDecay,10,500,268,0.004413599999999462
5.0,ArithDecay,10,500,268,0.004413599999999462
5.0,ArithDecay,10,500,268,0.004413599999999462
5.0,ArithDecay,10,500,268,0.004413599999999462
5.0,ArithDecay,10,500,268,0.004413599999999462
5.0,ArithDecay,10,500,268,0.004413599999999462
5.0,ArithDecay,10,500,268,0.004413599999999462
5.0,ArithDecay,10,500,268,0.004413599999999462
5.0,ArithDecay,10,500,268,0.004413599999999462
5.0,ArithDecay,10,500,268,0.004413599999999462
6.0,ArithDecay,10,500,268,0.004413599999999462
8.0,ArithDecay,10,500,268,0.004413599999999462
8.0,ArithDecay,10,500,268,0.004413599999999462
8.0,ArithDecay,10,500,268,0.004413599999999462
8.0,ArithDecay,10,500,268,0.004413599999999462
17.0,ArithDecay,10,500,268,0.004413599999999462
17.0,ArithDecay,10,500,268,0.004413599999999462
17.0,ArithDecay,10,500,268,0.004413599999999462
17.0,ArithDecay,10,500,268,0.004413599999999462
17.0,ArithDecay,10,500,268,0.004413599999999462
17.0,ArithDecay,10,500,268,0.004413599999999462
17.0,ArithDecay,10,500,268,0.004413599999999462
17.0,ArithDecay,10,500,268,0.004413599999999462
17.0,ArithDecay,10,500,268,0.004413599999999462
17.0,ArithDecay,10,500,268,0.004413599999999462
17.0,ArithDecay,10,500,268,0.004413599999999462
