fitness,pop_size,keep_pct,max_attempts,max_iters,n_invocations,time
405.0,200,0.3,10,500,5442,1.580760199999986
417.0,200,0.3,10,500,5442,1.580760199999986
442.0,200,0.3,10,500,5442,1.580760199999986
466.0,200,0.3,10,500,5442,1.580760199999986
490.0,200,0.3,10,500,5442,1.580760199999986
499.0,200,0.3,10,500,5442,1.580760199999986
525.0,200,0.3,10,500,5442,1.580760199999986
529.0,200,0.3,10,500,5442,1.580760199999986
536.0,200,0.3,10,500,5442,1.580760199999986
542.0,200,0.3,10,500,5442,1.580760199999986
545.0,200,0.3,10,500,5442,1.580760199999986
546.0,200,0.3,10,500,5442,1.580760199999986
547.0,200,0.3,10,500,5442,1.580760199999986
548.0,200,0.3,10,500,5442,1.580760199999986
548.0,200,0.3,10,500,5442,1.580760199999986
549.0,200,0.3,10,500,5442,1.580760199999986
549.0,200,0.3,10,500,5442,1.580760199999986
549.0,200,0.3,10,500,5442,1.580760199999986
549.0,200,0.3,10,500,5442,1.580760199999986
549.0,200,0.3,10,500,5442,1.580760199999986
549.0,200,0.3,10,500,5442,1.580760199999986
549.0,200,0.3,10,500,5442,1.580760199999986
549.0,200,0.3,10,500,5442,1.580760199999986
549.0,200,0.3,10,500,5442,1.580760199999986
549.0,200,0.3,10,500,5442,1.580760199999986
549.0,200,0.3,10,500,5442,1.580760199999986
